Chicago, Illinois January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
195912,43.2,-0.6
196012,42.6,-1.2
196112,42.8,-1.0
196212,42.6,-1.2
196312,41.1,-2.7
196412,42.9,-0.9
196512,43.2,-0.6
196612,42.0,-1.8
196712,41.9,-1.9
196812,43.2,-0.6
196912,42.4,-1.4
197012,43.1,-0.7
197112,43.3,-0.5
197212,41.4,-2.4
197312,45.5,1.7
197412,42.9,-0.9
197512,44.6,0.8
197612,40.6,-3.2
197712,43.5,-0.3
197812,41.0,-2.8
197912,41.4,-2.4
198012,43.0,-0.8
198112,42.9,-0.9
198212,42.4,-1.4
198312,44.6,0.8
198412,43.3,-0.5
198512,42.0,-1.8
198612,44.1,0.3
198712,46.0,2.2
198812,42.9,-0.9
198912,42.2,-1.6
199012,45.7,1.9
199112,45.0,1.2
199212,43.2,-0.6
199312,43.1,-0.7
199412,43.2,-0.6
199512,43.9,0.1
199612,41.2,-2.6
199712,42.6,-1.2
199812,47.8,4.0
199912,44.5,0.7
200012,43.6,-0.2
200112,44.6,0.8
200212,44.9,1.1
200312,42.4,-1.4
200412,43.4,-0.4
200512,44.7,0.9
200612,45.6,1.8
200712,44.3,0.5
200812,41.8,-2.0
200912,42.2,-1.6
201012,44.7,0.9
201112,44.6,0.8
201212,-99,-99
201312,42.3,-1.5
201412,40.6,-3.2
201512,43.3,-0.5
201612,45.8,2.0
201712,45.1,1.3
201812,44.0,0.2
201912,42.6,-1.2
202012,45.1,1.3
202112,45.2,1.4
202212,42.9,-0.9
202312,45.7,1.9
