Chicago, Illinois January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
195912,58.6,-1.5
196012,57.2,-2.9
196112,58.3,-1.8
196212,57.8,-2.3
196312,58.9,-1.2
196412,60.5,0.4
196512,58.4,-1.7
196612,59.4,-0.7
196712,57.3,-2.8
196812,59.8,-0.3
196912,57.8,-2.3
197012,58.6,-1.5
197112,60.5,0.4
197212,56.0,-4.1
197312,59.8,-0.3
197412,58.2,-1.9
197512,59.6,-0.5
197612,59.0,-1.1
197712,59.8,-0.3
197812,56.8,-3.3
197912,57.6,-2.5
198012,58.0,-2.1
198112,59.5,-0.6
198212,58.5,-1.6
198312,59.1,-1.0
198412,59.1,-1.0
198512,57.8,-2.3
198612,59.7,-0.4
198712,62.5,2.4
198812,61.0,0.9
198912,58.4,-1.7
199012,61.5,1.4
199112,61.7,1.6
199212,58.5,-1.6
199312,58.0,-2.1
199412,60.3,0.2
199512,59.8,-0.3
199612,57.1,-3.0
199712,58.0,-2.1
199812,62.9,2.8
199912,61.5,1.4
200012,59.7,-0.4
200112,60.5,0.4
200212,60.5,0.4
200312,59.1,-1.0
200412,59.8,-0.3
200512,61.4,1.3
200612,61.4,1.3
200712,60.7,0.6
200812,58.5,-1.6
200912,58.1,-2.0
201012,60.9,0.8
201112,59.8,-0.3
201212,64.7,4.6
201312,58.7,-1.4
201412,57.3,-2.8
201512,59.7,-0.4
201612,61.6,1.5
201712,62.2,2.1
201812,60.0,-0.1
201912,58.8,-1.3
202012,61.8,1.7
202112,61.5,1.4
202212,59.7,-0.4
202312,62.4,2.3
