New York (Central Park), New York January-December Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
189512,58.2,-4.4
189612,58.0,-4.6
189712,57.8,-4.8
189812,58.9,-3.7
189912,58.1,-4.5
190012,58.8,-3.8
190112,56.2,-6.4
190212,56.9,-5.7
190312,57.0,-5.6
190412,55.1,-7.5
190512,57.5,-5.1
190612,59.0,-3.6
190712,56.8,-5.8
190812,58.7,-3.9
190912,58.6,-4.0
191012,58.6,-4.0
191112,58.8,-3.8
191212,58.4,-4.2
191312,60.8,-1.8
191412,57.8,-4.8
191512,59.0,-3.6
191612,57.7,-4.9
191712,56.2,-6.4
191812,59.0,-3.6
191912,59.2,-3.4
192012,58.7,-3.9
192112,61.4,-1.2
192212,59.6,-3.0
192312,59.1,-3.5
192412,57.9,-4.7
192512,59.5,-3.1
192612,57.1,-5.5
192712,59.0,-3.6
192812,58.9,-3.7
192912,60.0,-2.6
193012,60.1,-2.5
193112,61.5,-1.1
193212,61.0,-1.6
193312,59.9,-2.7
193412,58.8,-3.8
193512,58.8,-3.8
193612,59.4,-3.2
193712,60.1,-2.5
193812,61.0,-1.6
193912,60.4,-2.2
194012,57.3,-5.3
194112,61.3,-1.3
194212,59.9,-2.7
194312,59.9,-2.7
194412,60.7,-1.9
194512,59.9,-2.7
194612,61.8,-0.8
194712,59.5,-3.1
194812,59.6,-3.0
194912,62.9,0.3
195012,59.3,-3.3
195112,61.1,-1.5
195212,61.4,-1.2
195312,63.0,0.4
195412,60.9,-1.7
195512,60.5,-2.1
195612,58.8,-3.8
195712,61.2,-1.4
195812,57.6,-5.0
195912,61.3,-1.3
196012,59.6,-3.0
196112,59.9,-2.7
196212,59.1,-3.5
196312,59.9,-2.7
196412,60.8,-1.8
196512,60.1,-2.5
196612,61.1,-1.5
196712,58.7,-3.9
196812,60.1,-2.5
196912,60.2,-2.4
197012,59.8,-2.8
197112,60.4,-2.2
197212,59.5,-3.1
197312,61.9,-0.7
197412,60.6,-2.0
197512,60.7,-1.9
197612,60.0,-2.6
197712,60.2,-2.4
197812,58.7,-3.9
197912,61.5,-1.1
198012,60.9,-1.7
198112,60.7,-1.9
198212,60.5,-2.1
198312,61.6,-1.0
198412,60.7,-1.9
198512,61.3,-1.3
198612,61.3,-1.3
198712,61.3,-1.3
198812,61.2,-1.4
198912,60.2,-2.4
199012,63.7,1.1
199112,63.9,1.3
199212,60.0,-2.6
199312,62.0,-0.6
199412,61.9,-0.7
199512,61.6,-1.0
199612,60.5,-2.1
199712,61.6,-1.0
199812,64.0,1.4
199912,63.9,1.3
200012,60.7,-1.9
200112,63.4,0.8
200212,63.8,1.2
200312,60.1,-2.5
200412,61.5,-1.1
200512,62.9,0.3
200612,63.9,1.3
200712,62.3,-0.3
200812,62.8,0.2
200912,60.9,-1.7
201012,63.8,1.2
201112,63.6,1.0
201212,64.3,1.7
201312,62.2,-0.4
201412,61.6,-1.0
201512,64.1,1.5
201612,64.6,2.0
201712,63.2,0.6
201812,62.6,0.0
201912,62.6,0.0
202012,64.3,1.7
202112,63.7,1.1
202212,63.6,1.0
202312,64.8,2.2
